Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
454;21101091650;"Journal of Criminal Law";journal;"00220183, 17405580";0,189;Q3;14;49;159;85;66;74;0,36;1,73;United States;Northern America;"SAGE Publications Inc.";"1937, 1939-1941, 1946, 1949, 1953-1954, 1956-1958, 1960, 1964-1965, 1972-2022";"Law (Q3)";"Social Sciences"
455;23416;"Journal of International Wildlife Law and Policy";journal;"15481476, 13880292";0,189;Q3;21;15;46;0;27;45;0,55;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2022";"Law (Q3); Ecology (Q4); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
456;21100228053;"Law and Development Review";journal;"19433867";0,189;Q3;9;15;72;815;33;68;0,39;54,33;Germany;Western Europe;"Walter de Gruyter GmbH";"2012-2022";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Development (Q4)";"Economics, Econometrics and Finance; Social Sciences"
457;21101016920;"Revista Juridica";journal;"2316753X";0,189;Q3;2;172;260;4804;18;258;0,07;27,93;Brazil;Latin America;"Centro Universitario Curitiba - UNICURITIBA";"2020-2022";"Law (Q3)";"Social Sciences"
458;21100857559;"BRICS Law Journal";journal;"24122343, 24099058";0,188;Q3;6;26;84;170;25;71;0,27;6,54;Russian Federation;Eastern Europe;"University of Tyumen";"2017-2022";"Law (Q3)";"Social Sciences"
459;21101045035;"Revista Opiniao Juridica";journal;"24476641, 18060420";0,188;Q3;2;26;93;1134;10;93;0,12;43,62;Brazil;Latin America;"Christus University Center";"2021-2022";"Law (Q3)";"Social Sciences"
460;90482;"Zbornik Pravnog Fakulteta u Zagrebu";journal;"03502058";0,188;Q3;5;44;86;1890;16;84;0,17;42,95;Croatia;Eastern Europe;"University of Zagreb, Faculty of Mining, Geology and Petroleum Engineering";"1984, 2007-2022";"Law (Q3)";"Social Sciences"
461;21100896486;"International Journal of E-Entrepreneurship and Innovation";journal;"19478585, 19478593";0,187;Q3;5;7;28;391;32;28;1,16;55,86;United States;Northern America;"IGI Global Publishing";"2018-2022";"Law (Q3); Business and International Management (Q4); Management Information Systems (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Social Sciences"
462;21101021921;"Journal of Property Tax Assessment and Administration";journal;"15483606, 13571419";0,187;Q3;2;8;15;365;6;15;0,40;45,63;United States;Northern America;"International Association of Assessing Officers";"2020-2022";"Law (Q3); Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
463;21100842538;"Jusletter IT";journal;"1664848X";0,187;Q3;4;67;314;1717;19;308;0,07;25,63;Switzerland;Western Europe;"Weblaw AG";"2017-2022";"Law (Q3); Computer Science (miscellaneous) (Q4)";"Computer Science; Social Sciences"
464;21100396570;"Lavoro e Diritto";journal;"1120947X";0,187;Q3;9;11;107;493;11;104;0,14;44,82;Italy;Western Europe;"Il Mulino publishing house";"1997-2022";"Law (Q3)";"Social Sciences"
465;5700165138;"Law and History Review";journal;"07382480";0,187;Q3;30;24;96;1531;41;89;0,40;63,79;United Kingdom;Western Europe;"Cambridge University Press";"1983-2022";"History (Q2); Law (Q3)";"Arts and Humanities; Social Sciences"
466;21101040630;"Revista de Derecho Ambiental(Chile)";journal;"07180101, 07194633";0,187;Q3;2;20;38;682;12;34;0,33;34,10;Chile;Latin America;"Universidad de Chile. Centro de Derecho Ambiental";"2020-2022";"Law (Q3); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Energy; Environmental Science; Social Sciences"
467;21100920639;"Actualidad Juridica Iberoamericana";journal;"23864567";0,186;Q3;3;370;239;15096;43;239;0,16;40,80;Spain;Western Europe;"Ibero-American Law Institute";"2019-2021";"Law (Q3)";"Social Sciences"
468;21100395926;"Asian Journal of Law and Society";journal;"20529023, 20529015";0,186;Q3;12;15;93;1370;56;83;0,46;91,33;United Kingdom;Western Europe;"Cambridge University Press";"2014-2022";"Law (Q3); Sociology and Political Science (Q3)";"Social Sciences"
469;19700177700;"European Energy and Environmental Law Review";journal;"18793886, 25890387";0,186;Q3;15;26;57;812;23;53;0,41;31,23;Netherlands;Western Europe;"Kluwer Law International";"2008-2022";"Law (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Energy; Environmental Science; Social Sciences"
470;21101049074;"Gosudarstvo i Pravo";journal;"10269452";0,186;Q3;3;246;211;4333;30;209;0,14;17,61;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2011, 2016, 2020-2022";"Law (Q3)";"Social Sciences"
471;56921;"International Journal of Speech, Language and the Law";journal;"17488885, 17488893";0,186;Q3;31;3;35;179;23;32;0,35;59,67;United Kingdom;Western Europe;"Equinox Publishing Ltd";"1999-2021";"Linguistics and Language (Q2); Law (Q3)";"Social Sciences"
472;16227;"Journal of law and medicine";journal;"1320159X";0,186;Q3;21;85;180;0;74;179;0,35;0,00;Australia;Pacific Region;"Thomson Head Office";"1994, 2001-2022";"Law (Q3); Health Policy (Q4); Issues, Ethics and Legal Aspects (Q4); Medicine (miscellaneous) (Q4)";"Medicine; Nursing; Social Sciences"
473;21100902663;"Revista Brasileira de Direito Processual Penal";journal;"23593881, 2525510X";0,186;Q3;4;35;162;1827;25;162;0,14;52,20;Brazil;Latin America;"";"2018-2022";"Anthropology (Q3); Law (Q3); Safety Research (Q3); Sociology and Political Science (Q3); Psychiatry and Mental Health (Q4)";"Medicine; Social Sciences"
474;21101058015;"Asian Journal of Law and Economics";journal;"21544611";0,185;Q3;7;18;43;576;26;43;0,71;32,00;Germany;Western Europe;"Walter de Gruyter GmbH";"2010-2022";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3)";"Economics, Econometrics and Finance; Social Sciences"
475;21100924840;"European Data Protection Law Review";journal;"2364284X, 23642831";0,185;Q3;5;66;216;59;71;136;0,23;0,89;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2019-2022";"Law (Q3)";"Social Sciences"
476;21100792108;"Law and Humanities";journal;"17521483, 17521491";0,185;Q3;6;27;40;0;22;33;0,63;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007, 2014-2022";"Arts and Humanities (miscellaneous) (Q2); Law (Q3)";"Arts and Humanities; Social Sciences"
477;21101017894;"Journal of Forensic Science and Medicine";journal;"23495014, 24550094";0,184;Q3;9;30;87;1186;41;85;0,30;39,53;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2015-2022";"Law (Q3); Pathology and Forensic Medicine (Q4)";"Medicine; Social Sciences"
478;21100856416;"BioLaw Journal";journal;"22844503";0,183;Q3;6;84;432;5345;83;423;0,22;63,63;Italy;Western Europe;"University of Trento";"2014-2022";"Philosophy (Q2); Law (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Biotechnology (Q4); Health Policy (Q4); Medicine (miscellaneous) (Q4)";"Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Medicine; Social Sciences"
479;21100814521;"Denver Law Review";journal;"24696471, 24696463";0,183;Q3;20;11;61;2222;25;61;0,34;202,00;United States;Northern America;"University of Denver Sturm College of Law";"2015-2022";"Law (Q3)";"Social Sciences"
480;5800191628;"Netherlands International Law Review";journal;"0165070X, 17416191";0,183;Q3;20;20;65;889;40;58;0,52;44,45;Switzerland;Western Europe;"Springer International Publishing AG";"1953, 1955-2022";"Law (Q3)";"Social Sciences"
481;21101039870;"Revista Espanola de la Transparencia";journal;"24442607";0,183;Q3;3;28;47;631;16;47;0,34;22,54;Spain;Western Europe;"Association of Professionals and Researchers of Transparency (ACREDITRA)";"2020-2022";"Communication (Q3); Law (Q3); Public Administration (Q4)";"Social Sciences"
482;16239;"Journal of Law and Religion";journal;"21633088, 07480814";0,182;Q3;17;29;61;919;27;58;0,47;31,69;United Kingdom;Western Europe;"Cambridge University Press";"1983-1996, 1998-2010, 2012-2022";"Religious Studies (Q1); Law (Q3)";"Arts and Humanities; Social Sciences"
483;21101075274;"Revista de Direito Economico e Socioambiental";journal;"2179345X, 21798214";0,182;Q3;2;7;90;248;16;84;0,23;35,43;Brazil;Latin America;"Pontificia Universidade Catolica do Parana";"2021";"Law (Q3)";"Social Sciences"
484;21100975882;"Doxa. Cuadernos de Filosofia del Derecho";journal;"02148676, 23864702";0,178;Q3;2;24;76;976;18;73;0,12;40,67;Spain;Western Europe;"Universidad de Alicante";"2019-2022";"Philosophy (Q2); Law (Q3)";"Arts and Humanities; Social Sciences"
485;5600155642;"Sociology of Crime, Law, and Deviance";book series;"15216136";0,178;Q3;14;0;37;0;26;12;0,60;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2021";"Cultural Studies (Q2); Law (Q3); Sociology and Political Science (Q3)";"Social Sciences"
486;5700153945;"Alternative Law Journal";journal;"1037969X, 23989084";0,177;Q3;13;61;183;0;75;142;0,40;0,00;United States;Northern America;"SAGE Publications Inc.";"2002-2022";"Law (Q3); Sociology and Political Science (Q3)";"Social Sciences"
487;8500153124;"Environmental and Planning Law Journal";journal;"0813300X";0,177;Q3;19;0;81;0;33;77;0,56;0,00;Australia;Pacific Region;"Lawbook Co.";"1984-2020";"Law (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
488;21100935900;"InterEULawEast";journal;"18493734, 18494439";0,177;Q3;3;11;50;386;29;48;0,65;35,09;Croatia;Eastern Europe;"University of Zagreb Faculty of Economics and Business";"2019-2022";"Law (Q3)";"Social Sciences"
489;18200156703;"Journal of International Trade Law and Policy";journal;"14770024";0,176;Q3;11;13;29;695;19;29;0,74;53,46;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2002-2022";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Political Science and International Relations (Q3); Industrial Relations (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
490;21100865932;"European Public Law";journal;"13543725, 18758207";0,175;Q3;5;14;108;1332;47;108;0,46;95,14;Netherlands;Western Europe;"Kluwer Law International";"2018-2022";"Law (Q3)";"Social Sciences"
491;21100934785;"International and Comparative Law Review";journal;"12138770, 24646601";0,174;Q3;5;25;82;763;28;82;0,38;30,52;Poland;Eastern Europe;"Sciendo";"2019-2022";"Law (Q3)";"Social Sciences"
492;5700164027;"International Criminal Law Review";journal;"1567536X";0,174;Q3;24;19;152;619;35;149;0,21;32,58;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2001-2022";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
493;21100790520;"Canadian Journal of Law and Jurisprudence";journal;"20564260, 08418209";0,173;Q3;20;20;61;935;32;59;0,60;46,75;United Kingdom;Western Europe;"Cambridge University Press";"1996-2003, 2007, 2012-2022";"Law (Q3)";"Social Sciences"
494;21100927252;"Diritto Pubblico";journal;"17218985, 26122464";0,172;Q3;3;22;84;1501;11;83;0,12;68,23;Italy;Western Europe;"Societa Editrice Il Mulino";"2019-2021";"Law (Q3)";"Social Sciences"
495;21100224006;"Journal of World Energy Law and Business";journal;"17549965, 17549957";0,172;Q3;10;17;81;1110;31;79;0,42;65,29;United States;Northern America;"Oxford University Press";"2012-2022";"Law (Q3); Energy (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)";"Energy; Environmental Science; Social Sciences"
496;21100255068;"Masaryk University Journal of Law and Technology";journal;"18025951, 18025943";0,172;Q3;6;5;41;210;35;41;0,52;42,00;Czech Republic;Eastern Europe;"Faculty of Law, Masaryk University";"2013-2022";"Law (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
497;21100892908;"PSL Quarterly Review";journal;"20373643, 20373635";0,172;Q3;6;1;42;46;26;42;0,68;46,00;Italy;Western Europe;"Economia Civile";"2018-2021";"Law (Q3); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
498;21674;"University of New South Wales law journal, The";journal;"03130096";0,172;Q3;8;53;163;667;104;147;0,60;12,58;Australia;Pacific Region;"Law School, University of New South Wales";"1983, 1991, 1994, 2001-2003, 2018-2022";"Philosophy (Q2); Law (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
499;21100211737;"Utrecht Law Review";journal;"1871515X";0,172;Q3;17;7;71;633;35;69;0,53;90,43;Netherlands;Western Europe;"";"2012-2022";"Law (Q3)";"Social Sciences"
500;9500154032;"Journal of Legal Medicine";journal;"01947648, 1521057X";0,171;Q3;21;5;58;0;39;55;0,39;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-1975, 1979-2015, 2017-2022";"Law (Q3); Medicine (miscellaneous) (Q4)";"Medicine; Social Sciences"
501;21100217635;"International Insolvency Review";journal;"10991107, 11800518";0,170;Q3;8;23;78;0;22;67;0,26;0,00;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-1991, 1993-2022";"Law (Q3); Finance (Q4)";"Economics, Econometrics and Finance; Social Sciences"
502;21100847440;"International Journal of Comparative Labour Law and Industrial Relations";journal;"1875838X, 0952617X";0,170;Q3;10;21;68;1710;36;68;0,44;81,43;United Kingdom;Western Europe;"Wolters Kluwer (UK) Ltd.";"2017-2022";"Law (Q3); Industrial Relations (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Social Sciences"
503;21100821128;"International Journal of Criminal Justice Sciences";journal;"09735089";0,170;Q3;7;7;89;270;72;89;1,02;38,57;India;Asiatic Region;"South Asian Society of Criminology and Victimology (SASCV)";"2017-2021";"Law (Q3)";"Social Sciences"
504;144734;"Liverpool Law Review";journal;"15728625, 0144932X";0,170;Q3;14;25;54;1020;46;52;1,00;40,80;Netherlands;Western Europe;"Springer Netherlands";"1979-1996, 1999-2002, 2005-2022";"Law (Q3)";"Social Sciences"
505;29266;"Buffalo Law Review";journal;"00239356";0,169;Q3;20;14;81;1583;33;81;0,28;113,07;United States;Northern America;"State University of New York at Buffalo Law School";"1973-1976, 1978-1979, 1982, 1990-1994, 1996, 1999-2000, 2002-2022";"Law (Q3)";"Social Sciences"
506;21100942897;"Historia, Instituciones, Documentos";journal;"02107716, 22538291";0,169;Q3;2;0;57;0;9;57;0,20;0,00;Spain;Western Europe;"Universidad de Sevilla";"2019-2021";"Cultural Studies (Q2); History (Q2); Law (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
507;21101062500;"Review of European Administrative Law";journal;"18747973, 18747981";0,169;Q3;1;0;20;0;1;20;0,05;0,00;Netherlands;Western Europe;"Uitgeverij Paris";"2021";"Law (Q3)";"Social Sciences"
508;19900192528;"British Journal of Community Justice";journal;"14750279";0,168;Q3;12;6;44;246;30;40;0,55;41,00;United Kingdom;Western Europe;"Sheffield Hallam University";"2010-2016, 2019-2022";"Law (Q3)";"Social Sciences"
509;14300;"Harvard Journal of Law and Public Policy";journal;"01934872";0,168;Q3;29;12;52;1601;11;52;0,15;133,42;United States;Northern America;"Harvard University";"1980, 1985, 1990, 1995-2022";"Law (Q3); Sociology and Political Science (Q3)";"Social Sciences"
510;19700169852;"Indiana Journal of Global Legal Studies";journal;"10800727, 15430367";0,168;Q3;15;16;67;1719;26;66;0,23;107,44;United States;Northern America;"Indiana University Press";"2013-2022";"Law (Q3)";"Social Sciences"
511;21100365076;"University of Pennsylvania Journal of International Law";journal;"19380283";0,168;Q3;11;5;59;313;28;59;0,29;62,60;United States;Northern America;"University of Pennsylvania Law School";"2014-2022";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3)";"Economics, Econometrics and Finance; Social Sciences"
512;21100838726;"Glossae";journal;"22552707";0,167;Q3;2;0;73;0;2;67;0,03;0,00;Spain;Western Europe;"Institute for Social, Political and Legal Studies";"2017-2021";"History (Q2); Law (Q3)";"Arts and Humanities; Social Sciences"
513;21100836108;"Knowledge Cultures";journal;"23756527, 23275731";0,167;Q3;14;24;79;1006;47;75;0,74;41,92;United States;Northern America;"Addleton Academic Publishers";"2013-2022";"Literature and Literary Theory (Q1); Cultural Studies (Q2); History (Q2); Philosophy (Q2); Law (Q3); Library and Information Sciences (Q3); Sociology and Political Science (Q3); Education (Q4)";"Arts and Humanities; Social Sciences"
514;21101054768;"China and WTO Review";journal;"23838221, 23844388";0,166;Q3;4;20;65;1316;15;58;0,24;65,80;South Korea;Asiatic Region;"Yijun Institute of International Law";"2015-2022";"Law (Q3); Political Science and International Relations (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4)";"Economics, Econometrics and Finance; Social Sciences"
515;21101023953;"Yearbook of Antitrust and Regulatory Studies";journal;"25450115, 16899024";0,166;Q3;6;17;66;547;13;60;0,12;32,18;Poland;Eastern Europe;"University of Warsaw";"2008-2021";"Law (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
516;21100830426;"Journal of Criminological Research, Policy and Practice";journal;"2056385X, 20563841";0,165;Q3;11;22;76;1086;60;71;0,73;49,36;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2015-2022";"Law (Q3); Sociology and Political Science (Q3); Health (social science) (Q4); Public Administration (Q4); Social Psychology (Q4)";"Psychology; Social Sciences"
517;21100872375;"Federal Law Review";journal;"14446928, 0067205X";0,164;Q3;4;27;83;0;34;78;0,35;0,00;Australia;Pacific Region;"Australian National University, College of Law";"2018-2022";"Law (Q3)";"Social Sciences"
518;27845;"Military Law Review";journal;"00264040";0,164;Q3;12;0;11;0;2;11;0,00;0,00;United States;Northern America;"U.S. Army Judge Advocate Generals Corps.";"1973, 1987, 1989, 1995-2019";"Law (Q3)";"Social Sciences"
519;21101039805;"Sriwijaya Law Review";journal;"25416464, 25415298";0,164;Q3;5;22;62;895;20;62;0,40;40,68;Indonesia;Asiatic Region;"Sriwijaya University";"2017-2022";"Law (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
520;25690;"Cornell International Law Journal";journal;"00108812";0,163;Q3;31;0;52;0;24;52;0,49;0,00;United States;Northern America;"Cornell Law School";"1992, 1996-2021";"Law (Q3); Political Science and International Relations (Q3)";"Social Sciences"
521;20500195077;"Historia Constitucional";journal;"15764729";0,163;Q3;6;29;117;1433;21;114;0,15;49,41;Spain;Western Europe;"Universidad de Oviedo";"2011-2021";"History (Q2); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
522;19700202605;"Law and Ethics of Human Rights";journal;"19382545";0,163;Q3;14;12;29;809;20;29;0,79;67,42;Germany;Western Europe;"Walter de Gruyter GmbH";"2010-2022";"Law (Q3); Sociology and Political Science (Q3)";"Social Sciences"
523;21100407836;"Journal of International Humanitarian Legal Studies";journal;"18781373, 18781527";0,162;Q3;10;15;51;545;25;45;0,56;36,33;Netherlands;Western Europe;"Brill Academic Publishers";"2010-2022";"Law (Q3)";"Social Sciences"
524;21100788258;"Jurisprudence";journal;"20403313, 20403321";0,162;Q3;8;28;79;0;25;59;0,33;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2022";"Law (Q3)";"Social Sciences"
525;19900188395;"Revista de Direito Sanitario";journal;"15164179, 23169044";0,162;Q3;3;25;75;850;12;71;0,10;34,00;Brazil;Latin America;"Universidade De Sao Paulo";"2016-2022";"Law (Q3); Health (social science) (Q4); Medicine (miscellaneous) (Q4)";"Medicine; Social Sciences"
526;12685;"American Journal of Law and Medicine";journal;"00988588, 2375835X";0,161;Q3;32;17;76;0;35;69;0,40;0,00;United Kingdom;Western Europe;"Cambridge University Press";"1975-2022";"Law (Q3); Health (social science) (Q4); Medicine (miscellaneous) (Q4)";"Medicine; Social Sciences"
527;21100935074;"British Tax Review";journal;"00071870";0,161;Q3;3;39;126;403;17;51;0,14;10,33;United States;Northern America;"Thomson Reuters";"2019-2022";"Law (Q3); Accounting (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
528;21101098754;"Isonomia";journal;"14050218, 26832593";0,161;Q3;2;11;36;467;6;32;0,14;42,45;Mexico;Latin America;"Autonomous Technological Institute of Mexico";"2022";"Philosophy (Q2); Law (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
529;7200153103;"Nordic Journal of International Law";journal;"09027351, 15718107";0,161;Q3;17;25;60;638;19;59;0,23;25,52;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1934, 1937-1939, 1941-1942, 1947, 1949, 1951-1953, 1955-1957, 1960, 1962-1964, 1968-1971, 1973-1974, 1976-1980, 1984-1991, 1995, 2004, 2006-2022";"Law (Q3); Political Science and International Relations (Q3)";"Social Sciences"
530;5600152881;"Human Affairs";journal;"12103055, 1337401X";0,160;Q3;17;41;142;1150;76;134;0,47;28,05;Germany;Western Europe;"Walter de Gruyter GmbH";"2001, 2007-2022";"Philosophy (Q2); Law (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
531;21100922612;"Uniform Law Review";journal;"11243694, 20509065";0,160;Q3;12;18;88;1476;23;85;0,14;82,00;United States;Northern America;"Oxford University Press";"1996-2004, 2006-2022";"Law (Q3)";"Social Sciences"
532;21644;"University of Illinois Law Review";journal;"02769948";0,160;Q3;33;47;107;3979;55;107;0,60;84,66;United States;Northern America;"University of Illinois College of Law";"1990-1992, 1994-2022";"Law (Q3)";"Social Sciences"
533;25049;"American Journal of Comparative Law";journal;"0002919X";0,159;Q3;45;0;51;0;37;48;0,72;0,00;United States;Northern America;"American Society of Comparative Law";"1974, 1977, 1985-1988, 1990, 1995-2021";"Law (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
534;21100927210;"Balkan Social Science Review";journal;"18578772, 18578799";0,159;Q3;4;24;88;948;14;88;0,12;39,50;Macedonia;Eastern Europe;"Goce Delchev University of Shtip";"2013-2022";"Law (Q3); Political Science and International Relations (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Public Administration (Q4)";"Social Sciences"
535;4000152138;"International Commentary on Evidence";journal;"15544567";0,159;Q3;7;0;3;0;2;3;0,00;0,00;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2007, 2009-2016, 2018-2019";"Law (Q3)";"Social Sciences"
536;21101042011;"Revista Catalana de Dret Ambiental";journal;"2014038X";0,159;Q3;3;87;203;1736;21;201;0,15;19,95;Spain;Western Europe;"Universitat Rovira i Virgili";"2020-2022";"Law (Q3); Ecology (Q4); Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
537;21100232410;"Tilburg Law Review";journal;"22110046, 22112596";0,159;Q3;9;0;21;0;17;15;1,38;0,00;Netherlands;Western Europe;"Ubiquity Press";"2012-2021";"Law (Q3)";"Social Sciences"
538;21100945716;"Croatian and Comparative Public Administration";journal;"18480357, 18492150";0,158;Q3;3;25;75;1093;26;75;0,34;43,72;Croatia;Eastern Europe;"Institute for Public Administration, Croatian and Comparative Public Administration";"2019-2022";"Law (Q3); Public Administration (Q4)";"Social Sciences"
539;7200153132;"Commonwealth Law Bulletin";journal;"03050718, 17505976";0,157;Q3;8;0;97;0;42;97;0,48;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2021";"Law (Q3)";"Social Sciences"
540;5700165146;"New Criminal Law Review";journal;"19334206, 19334192";0,157;Q3;20;0;68;0;34;59;0,33;0,00;United States;Northern America;"University of California Press";"2007-2021";"Law (Q3)";"Social Sciences"
541;12390;"Canadian journal of women and the law = Revue juridique La femme et le droit";journal;"08328781, 19110235";0,156;Q3;16;6;40;410;29;40;0,32;68,33;Canada;Northern America;"University of Toronto Press";"1986-1987, 1989-1990, 1993-1994, 2003, 2009-2022";"Gender Studies (Q3); Law (Q3); Sociology and Political Science (Q3)";"Social Sciences"
542;25087;"Criminal Law Forum";journal;"10468374";0,156;Q3;23;12;46;164;17;45;0,27;13,67;Netherlands;Western Europe;"Springer Netherlands";"1989-1997, 1999-2002, 2004-2022";"Law (Q3)";"Social Sciences"
543;21101072352;"Journal of Tax Reform";journal;"24128872, 24149497";0,156;Q3;2;20;18;924;10;18;0,56;46,20;Russian Federation;Eastern Europe;"Ural Federal University";"2021-2022";"Law (Q3); Accounting (Q4); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
544;21100887528;"Journal on the Use of Force and International Law";journal;"20531702, 20531710";0,156;Q3;9;17;36;0;15;29;0,52;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2022";"Law (Q3); Political Science and International Relations (Q3)";"Social Sciences"
545;21100945266;"Science and Innovation";journal;"24099066, 24134996";0,156;Q3;6;59;167;1446;67;167;0,43;24,51;Ukraine;Eastern Europe;"Publishing House Akademperiodyka";"2014-2022";"Law (Q3); Computer Science Applications (Q4); Engineering (miscellaneous) (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
546;21100837350;"Domes : digest of Middle East studies";journal;"10604367, 19493606";0,155;Q3;13;26;58;1241;21;51;0,34;47,73;United States;Northern America;"John Wiley &amp; Sons Inc.";"1992-2022";"Cultural Studies (Q2); History (Q2); Religious Studies (Q2); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
547;21100970318;"Carbon and Climate Law Review";journal;"21908230, 18649904";0,154;Q3;4;22;84;240;12;60;0,13;10,91;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2019-2022";"Law (Q3); Global and Planetary Change (Q4); Pollution (Q4)";"Environmental Science; Social Sciences"
548;21100865914;"Global Trade and Customs Journal";journal;"18756468, 1569755X";0,154;Q3;4;65;208;3187;35;204;0,15;49,03;Netherlands;Western Europe;"Kluwer Law International";"2018-2022";"Law (Q3); Business and International Management (Q4)";"Business, Management and Accounting; Social Sciences"
549;21101052925;"Russian Journal of Forensic Medicine";journal;"24118729, 24094161";0,153;Q3;5;40;117;949;28;116;0,29;23,73;Russian Federation;Eastern Europe;"Association of Forensic Medical Experts";"2021-2022";"Law (Q3); Anatomy (Q4); Pathology and Forensic Medicine (Q4)";"Medicine; Social Sciences"
550;18700156726;"Kriminologisches Journal";journal;"03411966";0,152;Q3;6;7;65;350;12;49;0,22;50,00;Germany;Western Europe;"Biomedical Research Press s.a.s.";"2009-2013, 2015-2022";"Law (Q3); Safety Research (Q4)";"Social Sciences"
551;5800170936;"Legal Issues of Economic Integration";journal;"15666573";0,152;Q3;13;20;64;1549;29;62;0,44;77,45;Netherlands;Western Europe;"Kluwer Law International";"2012-2022";"Law (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
552;21101098021;"New Journal of European Criminal Law";journal;"2399293X, 20322844";0,152;Q3;10;29;102;0;54;83;0,56;0,00;United States;Northern America;"SAGE Publications Inc.";"2009-2022";"Law (Q3)";"Social Sciences"
553;5800171965;"Asia Pacific Law Review";journal;"10192557";0,151;Q3;10;20;53;0;30;53;0,31;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2022";"Law (Q3)";"Social Sciences"
