Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
409;21100856536;"Journal of Antitrust Enforcement";journal;"20500688, 20500696";0,201;Q3;8;10;82;382;50;80;0,62;38,20;United Kingdom;Western Europe;"Oxford University Press";"2013-2020";"Law (Q3)"
410;5600152888;"Journal of Genocide Research";journal;"14623528, 14699494";0,201;Q3;29;62;83;0;77;55;0,76;0,00;United Kingdom;Western Europe;"Carfax Publishing Ltd.";"1999-2021";"History (Q1); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
411;21100901812;"Revista de Derecho Civil";journal;"23412216";0,201;Q3;5;47;94;1463;50;90;0,35;31,13;Spain;Western Europe;"Notyreg Hispana, S.L.";"2018-2021";"Law (Q3)"
412;21101054768;"China and WTO Review";journal;"23838221, 23844388";0,200;Q3;2;22;68;958;11;59;0,21;43,55;South Korea;Asiatic Region;"Yijun Institute of International Law";"2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Political Science and International Relations (Q3)"
413;21100370222;"Griffith Law Review";journal;"18394205, 10383441";0,200;Q3;16;25;78;2236;51;70;0,59;89,44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2006, 2008-2021";"Law (Q3)"
414;21100862232;"Intersections East European Journal of Society and Politics";journal;"2416089X";0,200;Q3;10;47;94;2160;53;94;0,43;45,96;Hungary;Eastern Europe;"Centre for Social Sciences of the Hungarian Academy of Sciences";"2015-2021";"Law (Q3); Sociology and Political Science (Q3)"
415;12871;"Federal Register";journal;"00976326";0,199;Q3;57;116;739;1408;77;369;0,04;12,14;United States;Northern America;"Office of the Federal Register";"1973-2021";"Law (Q3); Public Administration (Q4)"
416;21100860693;"Iberoamerica (Russian Federation)";journal;"20759711, 20768400";0,199;Q3;3;36;93;1035;33;93;0,36;28,75;Russian Federation;Eastern Europe;"Institute of Latin American Studies, Russian Academy of Sciences";"2017-2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Political Science and International Relations (Q3); Safety Research (Q3); Sociology and Political Science (Q3)"
417;21101045325;"Samarah";journal;"25493167, 25493132";0,199;Q3;3;48;70;1811;24;70;0,46;37,73;Indonesia;Asiatic Region;"Universitas Islam Negeri Ar-Raniry";"2017-2021";"Law (Q3); Social Sciences (miscellaneous) (Q3)"
418;14098;"Studia Islamica";journal;"05855292, 19585705";0,199;Q3;10;11;24;807;11;23;0,20;73,36;France;Western Europe;"Brill Academic Publishers";"1970-1971, 1981, 1989, 2001-2007, 2013-2021";"History (Q1); Literature and Literary Theory (Q1); Religious Studies (Q1); Linguistics and Language (Q2); Law (Q3)"
419;21100242265;"International Journal of Intellectual Property Management";journal;"14789647, 14789655";0,198;Q3;12;26;34;1361;30;34;0,88;52,35;Switzerland;Western Europe;"Inderscience Publishers";"2006-2016, 2019-2021";"Law (Q3); Business and International Management (Q4); Strategy and Management (Q4)"
420;21100797848;"Potchefstroom Electronic Law Journal";journal;"17273781";0,198;Q3;7;70;166;4443;42;163;0,24;63,47;South Africa;Africa;"North-West University";"2013-2021";"Law (Q3); Sociology and Political Science (Q3)"
421;21100942928;"Revista de Internet, Derecho y Politica";journal;"16998154";0,198;Q3;3;27;51;795;18;43;0,35;29,44;Spain;Western Europe;"Universitat Oberta de Catalunya";"2019-2021";"Law (Q3); Sociology and Political Science (Q3); Computer Science (miscellaneous) (Q4)"
422;21100898697;"UUM Journal of Legal Studies";journal;"01279483, 2229984X";0,197;Q3;3;27;42;1144;15;42;0,34;42,37;Malaysia;Asiatic Region;"Universiti Utara Malaysia Press";"2018-2021";"Law (Q3); Sociology and Political Science (Q3)"
423;21100310006;"Boletin de la Asociacion Internacional de Derecho Cooperativo";journal;"1134993X";0,195;Q3;6;23;64;617;45;64;0,73;26,83;Spain;Western Europe;"Asociacion Internacional de Derecho Cooperativo";"2013-2021";"Law (Q3)"
424;21100862474;"Diritto and Questioni Pubbliche";journal;"18250173";0,195;Q3;4;26;117;884;20;114;0,13;34,00;Italy;Western Europe;"Universita di Palermo";"2017-2020";"Law (Q3)"
425;21100255350;"Journal of Forensic Practice";journal;"20508808, 20508794";0,195;Q3;20;30;73;1417;46;72;0,45;47,23;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2013-2021";"Law (Q3); Applied Psychology (Q4); Pathology and Forensic Medicine (Q4); Psychiatry and Mental Health (Q4)"
426;17521;"Law and Contemporary Problems";journal;"00239186";0,194;Q3;38;41;114;2401;57;107;0,46;58,56;United States;Northern America;"Duke University School of Law";"1976, 1979, 1981-1982, 1985-1986, 1988-1989, 1991, 1993-1994, 1996, 2004-2021";"Law (Q3)"
427;5000160302;"Revista de Derecho";journal;"07180950, 07169132";0,194;Q3;9;38;158;1827;36;155;0,19;48,08;Chile;Latin America;"Universidad Austral de Chile";"2006-2021";"Law (Q3)"
428;21100836108;"Knowledge Cultures";journal;"23756527, 23275731";0,193;Q3;12;22;81;875;70;77;1,07;39,77;United States;Northern America;"Addleton Academic Publishers";"2013-2021";"Literature and Literary Theory (Q1); Cultural Studies (Q2); History (Q2); Philosophy (Q2); Law (Q3); Library and Information Sciences (Q3); Sociology and Political Science (Q3); Education (Q4)"
429;21100396570;"Lavoro e Diritto";journal;"1120947X";0,193;Q3;8;31;87;1652;29;86;0,38;53,29;Italy;Western Europe;"Il Mulino publishing house";"1997-2021";"Law (Q3)"
430;21101042011;"Revista Catalana de Dret Ambiental";journal;"2014038X";0,192;Q3;2;60;53;1681;16;52;0,30;28,02;Spain;Western Europe;"Universitat Rovira i Virgili";"2020-2021";"Environmental Science (miscellaneous) (Q3); Law (Q3); Ecology (Q4); Management, Monitoring, Policy and Law (Q4)"
431;21100237213;"Danube";journal;"18048285, 18046746";0,191;Q3;8;20;56;666;31;56;0,75;33,30;Germany;Western Europe;"De Gruyter Open Ltd.";"2010-2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3)"
432;21100790525;"European Competition Journal";journal;"17441056, 17578396";0,191;Q3;11;40;53;35;30;53;0,53;0,88;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005, 2014-2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3)"
433;21100784265;"Ius Canonicum";journal;"0021325X, 22546219";0,190;Q3;5;18;83;869;13;81;0,14;48,28;Spain;Western Europe;"Servicio de Publicaciones de la Universidad De Navarra";"2016-2021";"Religious Studies (Q1); Law (Q3)"
434;19700170839;"Journal of Human Rights Practice";journal;"17579619, 17579627";0,190;Q3;21;2;110;64;77;109;0,78;32,00;United Kingdom;Western Europe;"Oxford University Press";"2009-2021";"History (Q2); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
435;21100259111;"Journal of Legal Analysis";journal;"21617201, 19465319";0,190;Q3;11;14;7;1000;12;7;1,71;71,43;United States;Northern America;"Oxford University Press";"2013-2017, 2019-2021";"Law (Q3)"
436;21100788258;"Jurisprudence";journal;"20403313, 20403321";0,190;Q3;7;27;97;0;49;75;0,29;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2021";"Law (Q3)"
437;21100935115;"Revista Direito GV";journal;"23176172";0,190;Q3;3;49;67;2646;21;64;0,31;54,00;Brazil;Latin America;"Fundacao Getulio Vargas, Escola de Direito de Sao Paulo";"2019-2021";"Law (Q3)"
438;21100786380;"Perspectives on Federalism";journal;"20365438";0,189;Q3;3;0;40;0;25;40;0,00;0,00;Germany;Western Europe;"Walter de Gruyter";"2016-2018";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
439;21100423127;"Stability";journal;"21652627";0,189;Q3;18;0;34;0;26;33;1,00;0,00;United Kingdom;Western Europe;"Ubiquity Press";"2012-2020";"Law (Q3); Political Science and International Relations (Q3)"
440;21100850516;"European Journal of Legal Studies";journal;"19732937";0,188;Q3;4;21;37;117;20;32;0,53;5,57;Italy;Western Europe;"European University Institute, Law Department";"2017-2021";"Law (Q3)"
441;13020;"Fordham Law Review";journal;"0015704X";0,188;Q3;37;0;213;0;87;211;0,31;0,00;United States;Northern America;"Fordham University School of Law";"1973, 1975, 1978, 1980, 1983, 1994-2020";"Law (Q3)"
442;21101058015;"Asian Journal of Law and Economics";journal;"21544611";0,187;Q3;7;14;45;572;17;45;0,31;40,86;Germany;Western Europe;"Walter de Gruyter GmbH";"2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3)"
443;21100407655;"Banks and Bank Systems";journal;"19917074, 18167403";0,187;Q3;17;71;208;2851;196;208;0,93;40,15;Ukraine;Eastern Europe;"Business Perspectives";"2006-2021";"Business, Management and Accounting (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Finance (Q4); Management of Technology and Innovation (Q4); Marketing (Q4); Organizational Behavior and Human Resource Management (Q4)"
444;12365;"Canadian Journal of Law and Society";journal;"08293201, 19110227";0,187;Q3;23;29;73;1332;32;70;0,38;45,93;United Kingdom;Western Europe;"Cambridge University Press";"1986-2021";"Law (Q3); Sociology and Political Science (Q3)"
445;20905;"Kriminalistik";journal;"00234699";0,187;Q3;8;84;407;1250;16;371;0,04;14,88;Germany;Western Europe;"Huthig GmbH";"1974-1983, 1996-2021";"Law (Q3)"
446;19700172902;"International Journal of the Legal Profession";journal;"09695958, 14699257";0,186;Q3;21;27;58;1155;27;50;0,46;42,78;United Kingdom;Western Europe;"Routledge";"1994-2021";"Law (Q3); Strategy and Management (Q4)"
447;21101039805;"Sriwijaya Law Review";journal;"25416464, 25415298";0,186;Q3;4;22;56;694;10;56;0,13;31,55;Indonesia;Asiatic Region;"Sriwijaya University";"2017-2021";"Law (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
448;21101043803;"Access to Justice in Eastern Europe";journal;"26630583, 26630575";0,185;Q3;2;51;43;1310;18;39;0,44;25,69;Ukraine;Eastern Europe;"Access to Justice in Eastern Europe";"2018-2021";"Law (Q3)"
449;21100877171;"Trabajo y Derecho";journal;"23868112, 23868090";0,185;Q3;3;143;324;3036;32;296;0,13;21,23;Spain;Western Europe;"Wolters Kluwer (UK) Ltd.";"2015-2019, 2021";"Law (Q3)"
450;21100228747;"Revista General de Derecho Administrativo";journal;"16969650";0,184;Q3;4;76;195;1032;26;156;0,18;13,58;Spain;Western Europe;"";"2012-2021";"Law (Q3)"
451;21101016920;"Revista Juridica";journal;"2316753X";0,184;Q3;2;92;147;2828;10;147;0,07;30,74;Brazil;Latin America;"Centro Universitario Curitiba - UNICURITIBA";"2020-2021";"Law (Q3)"
452;21100242828;"Revista de Direito, Estado e Telecomunicacoes";journal;"19849729, 19848161";0,183;Q3;4;19;58;727;38;58;0,56;38,26;Brazil;Latin America;"Universidade de Brasilia";"2009, 2013-2021";"Law (Q3); Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4)"
453;20500195077;"Historia Constitucional";journal;"15764729";0,182;Q3;6;38;106;2834;22;101;0,23;74,58;Spain;Western Europe;"Universidad de Oviedo";"2011-2020";"History (Q2); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
454;56921;"International Journal of Speech, Language and the Law";journal;"17488885, 17488893";0,181;Q3;30;6;30;193;18;27;0,44;32,17;United Kingdom;Western Europe;"Equinox Publishing Ltd";"1999-2020";"Linguistics and Language (Q2); Law (Q3)"
455;21499;"Environmental Policy and Law";journal;"0378777X";0,180;Q3;13;42;193;1418;78;178;0,38;33,76;Netherlands;Western Europe;"IOS Press BV";"1975-2021";"Law (Q3); Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)"
456;21100421902;"Iberoamerican Journal of Development Studies";journal;"22542035";0,180;Q3;6;24;55;1296;27;55;0,55;54,00;Spain;Western Europe;"Universidad de Zaragoza";"2012-2020";"History (Q2); Law (Q3); Sociology and Political Science (Q3); Development (Q4); Geography, Planning and Development (Q4)"
457;21100902690;"Credit and Capital Markets";journal;"21991227, 21991235";0,178;Q3;4;24;76;1160;18;67;0,20;48,33;Germany;Western Europe;"Duncker und Humblot GmbH";"2016-2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Business, Management and Accounting (miscellaneous) (Q4)"
458;21100865932;"European Public Law";journal;"13543725, 18758207";0,178;Q3;3;32;103;2377;32;99;0,32;74,28;Netherlands;Western Europe;"Kluwer Law International";"2018-2021";"Law (Q3)"
459;21100217635;"International Insolvency Review";journal;"10991107, 11800518";0,178;Q3;8;35;67;0;29;57;0,35;0,00;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-1991, 1993-2021";"Law (Q3); Finance (Q4)"
460;19700173001;"Journal of Intellectual Property Rights";journal;"09717544, 09751076";0,178;Q3;14;35;59;1375;14;59;0,08;39,29;India;Asiatic Region;"National Institute of Science Communication and Information Resources (NISCAIR)";"2008-2021";"Law (Q3)"
461;21100789025;"Journal of Media Law";journal;"17577640, 17577632";0,178;Q3;7;11;30;0;27;28;0,83;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009, 2013, 2015-2021";"Communication (Q3); Law (Q3)"
462;5700165146;"New Criminal Law Review";journal;"19334206, 19334192";0,178;Q3;18;23;68;1064;34;62;0,44;46,26;United States;Northern America;"University of California Press";"2007-2021";"Law (Q3)"
463;21100885611;"European Journal of Comparative Law and Governance";journal;"22134506, 22134514";0,177;Q3;6;16;43;903;26;36;0,62;56,44;Netherlands;Western Europe;"Brill Academic Publishers";"2014-2021";"Law (Q3); Sociology and Political Science (Q3); Public Administration (Q4)"
464;21100899527;"Australian Feminist Law Journal";journal;"22040064, 13200968";0,176;Q3;3;12;45;0;25;39;0,52;0,00;Australia;Pacific Region;"Taylor and Francis Ltd.";"2018-2021";"Literature and Literary Theory (Q1); Gender Studies (Q3); Law (Q3); Sociology and Political Science (Q3); Psychology (miscellaneous) (Q4)"
465;19900192528;"British Journal of Community Justice";journal;"14750279";0,176;Q3;10;16;28;1021;7;25;0,25;63,81;United Kingdom;Western Europe;"Sheffield Hallam University";"2010-2016, 2019-2021";"Law (Q3)"
466;21100828130;"Cosmopolitan Civil Societies";journal;"18375391";0,176;Q3;8;16;37;804;34;36;1,21;50,25;Australia;Pacific Region;"UTS ePress";"2017-2021";"Cultural Studies (Q2); Anthropology (Q3); Demography (Q3); Law (Q3); Sociology and Political Science (Q3)"
467;21100821128;"International Journal of Criminal Justice Sciences";journal;"09735089";0,176;Q3;4;18;81;969;25;80;0,15;53,83;India;Asiatic Region;"South Asian Society of Criminology and Victimology (SASCV)";"2017-2021";"Law (Q3)"
468;21100792108;"Law and Humanities";journal;"17521483, 17521491";0,176;Q3;4;14;41;80;12;35;0,31;5,71;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007, 2014-2021";"Arts and Humanities (miscellaneous) (Q3); Law (Q3)"
469;13583;"George Washington Law Review";journal;"00168076";0,175;Q3;31;0;96;0;60;96;0,46;0,00;United States;Northern America;"George Washington University";"1976, 1978, 1980, 1982-1983, 1989, 1992-1994, 1996-2020";"Law (Q3)"
470;21100407836;"Journal of International Humanitarian Legal Studies";journal;"18781373, 18781527";0,175;Q3;9;13;42;582;23;38;0,58;44,77;Netherlands;Western Europe;"Brill Academic Publishers";"2010-2021";"Law (Q3)"
471;21100265065;"AFTE Journal";journal;"10489959";0,174;Q3;8;17;65;156;11;62;0,03;9,18;United States;Northern America;"Association of Firearm and Tool Mark Examiners";"2013-2021";"Law (Q3); Health (social science) (Q4); Mechanics of Materials (Q4); Safety, Risk, Reliability and Quality (Q4)"
472;25049;"American Journal of Comparative Law";journal;"0002919X";0,174;Q3;43;9;75;1580;45;71;0,44;175,56;United States;Northern America;"American Society of Comparative Law";"1974, 1977, 1985-1988, 1990, 1995-2020";"Law (Q3); Social Sciences (miscellaneous) (Q3)"
473;21101017894;"Journal of Forensic Science and Medicine";journal;"23495014, 24550094";0,174;Q3;7;25;93;630;33;92;0,27;25,20;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2015-2021";"Law (Q3); Pathology and Forensic Medicine (Q4)"
474;21100887515;"Journal of Private International Law";journal;"17578418, 17441048";0,174;Q3;13;25;67;0;19;67;0,26;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2021";"Law (Q3); Political Science and International Relations (Q3)"
475;21101021175;"Lex Portus";journal;"2617541X, 2524101X";0,174;Q3;2;17;20;758;13;20;0,65;44,59;Ukraine;Eastern Europe;"National University Odessa Law Academy";"2020-2021";"Law (Q3); Political Science and International Relations (Q3); Management, Monitoring, Policy and Law (Q4); Transportation (Q4)"
476;21100235823;"King's Law Journal";journal;"17578442, 09615768";0,173;Q3;7;31;83;0;40;77;0,52;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2021";"Law (Q3)"
477;21100897789;"Advances in Business Related Scientific Research Journal";journal;"1855931X";0,172;Q3;2;10;24;419;11;24;0,63;41,90;Slovenia;Eastern Europe;"GEA College - Faculty of Entrepreneurship";"2018-2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Gender Studies (Q3); Law (Q3); Business, Management and Accounting (miscellaneous) (Q4)"
478;15695;"Ecology Law Quarterly";journal;"00461121";0,172;Q3;26;13;71;1471;34;70;0,42;113,15;United States;Northern America;"University of California, Berkeley Law";"1973, 1978-1987, 1996, 1999-2021";"Law (Q3); Environmental Science (miscellaneous) (Q4)"
479;25690;"Cornell International Law Journal";journal;"00108812";0,171;Q3;29;0;49;0;27;49;0,48;0,00;United States;Northern America;"Cornell Law School";"1992, 1996-2020";"Law (Q3); Political Science and International Relations (Q3)"
480;21101021442;"Derecho Animal";journal;"24627518";0,171;Q3;2;25;51;1205;13;50;0,25;48,20;Spain;Western Europe;"International Center for Animal Law and Policy";"2020-2021";"Law (Q3); Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4)"
481;5800207616;"Revista de Llengua i Dret";journal;"02125056, 20131453";0,171;Q3;6;48;143;1683;20;142;0,18;35,06;Spain;Western Europe;"Escola d'Administracio Publica de Catalunya";"2011-2021";"Linguistics and Language (Q2); Law (Q3)"
482;21100845376;"Veredas do Direito";journal;"18063845, 21798699";0,171;Q3;3;15;132;623;12;123;0,09;41,53;Brazil;Latin America;"Editora Dom Helder";"2017-2021";"Law (Q3); Management, Monitoring, Policy and Law (Q4)"
483;14435;"Current legal problems";journal;"20448422, 00701998";0,170;Q3;11;0;24;0;25;24;1,17;0,00;United Kingdom;Western Europe;"Oxford University Press";"1983, 2014-2019";"Law (Q3)"
484;145329;"International Journal of Discrimination and the Law";journal;"13582291, 20479468";0,170;Q3;9;24;40;661;34;34;0,74;27,54;United States;Northern America;"SAGE Publications Inc.";"2000, 2005-2009, 2011-2021";"Law (Q3); Sociology and Political Science (Q3)"
485;21101039257;"Revista Brasileira de Estudos Politicos";journal;"23595736, 00347191";0,169;Q3;2;31;28;1161;3;28;0,11;37,45;Brazil;Latin America;"Universidade Federal de Minas Gerais, Faculdade de Letras";"2020-2021";"Law (Q3); Sociology and Political Science (Q3)"
486;21100922612;"Uniform Law Review";journal;"11243694, 20509065";0,169;Q3;11;24;93;776;31;89;0,22;32,33;United States;Northern America;"Oxford University Press";"1996-2004, 2006-2020";"Law (Q3)"
487;12256;"Cambridge Law Journal";journal;"14692139, 00081973";0,168;Q3;25;56;137;686;38;58;0,22;12,25;United Kingdom;Western Europe;"Cambridge University Press";"1921-1939, 1941-1998, 2000-2021";"Law (Q3)"
488;4500151526;"Review of Law and Economics";journal;"15555879";0,168;Q3;20;24;56;1174;27;55;0,53;48,92;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3)"
489;19700169117;"social history of alcohol and drugs, The";journal;"26407329, 19308418";0,167;Q3;6;12;34;0;17;30;0,53;0,00;United States;Northern America;"Alcohol and Drugs History Society";"2005-2021";"Cultural Studies (Q2); History (Q2); Law (Q3); Public Health, Environmental and Occupational Health (Q4)"
490;21100856416;"BioLaw Journal";journal;"22844503";0,165;Q3;6;102;322;4153;56;307;0,18;40,72;Italy;Western Europe;"University of Trento";"2014-2021";"Philosophy (Q2); Law (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Biotechnology (Q4); Health Policy (Q4); Medicine (miscellaneous) (Q4)"
491;21100248874;"Dilemas";journal;"19835922, 21782792";0,165;Q3;9;42;103;1568;20;101;0,24;37,33;Brazil;Latin America;"Universidade Federal do Rio de Janeiro - UFRJ";"2013-2021";"Law (Q3); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
492;21100920038;"Revista de Bioetica y Derecho";journal;"18865887";0,165;Q3;3;35;97;1134;26;90;0,27;32,40;Spain;Western Europe;"Universitat de Barcelona, Observatorio de Bioetica y Derecho";"2019-2021";"Law (Q3); Sociology and Political Science (Q3)"
493;21101047912;"Forensic Science and Technology";journal;"10083650";0,164;Q3;2;100;124;1463;33;124;0,27;14,63;China;Asiatic Region;"Editorial Office of Forensic Science and Technology";"2021";"Law (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Pathology and Forensic Medicine (Q4); Toxicology (Q4)"
494;21674;"University of New South Wales law journal, The";journal;"03130096";0,164;Q3;6;57;154;488;86;139;0,42;8,56;Australia;Pacific Region;"Law School, University of New South Wales";"1983, 1991, 1994, 2001-2003, 2018-2021";"Philosophy (Q2); Law (Q3); Sociology and Political Science (Q3)"
495;12390;"Canadian journal of women and the law = Revue juridique La femme et le droit";journal;"08328781, 19110235";0,163;Q3;14;5;55;191;32;55;0,63;38,20;Canada;Northern America;"University of Toronto Press";"1986-1987, 1989-1990, 1993-1994, 2003, 2009-2021";"Gender Studies (Q3); Law (Q3); Sociology and Political Science (Q3)"
496;21100872375;"Federal Law Review";journal;"14446928, 0067205X";0,163;Q3;3;24;71;0;35;66;0,42;0,00;Australia;Pacific Region;"Australian National University, College of Law";"2018-2021";"Law (Q3)"
497;21100244220;"Singapore Journal of Legal Studies";journal;"02182173";0,163;Q3;6;22;51;200;21;48;0,41;9,09;Singapore;Asiatic Region;"National University of Singapore, Faculty of Law";"2012-2013, 2019-2021";"Law (Q3)"
498;21100887528;"Journal on the Use of Force and International Law";journal;"20531702, 20531710";0,162;Q3;7;11;34;0;7;25;0,08;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2021";"Law (Q3); Political Science and International Relations (Q3)"
499;21100902912;"European Yearbook of Minority Issues";journal;"15707865, 22116117";0,161;Q3;9;11;31;390;12;28;0,33;35,45;Netherlands;Western Europe;"Brill Academic Publishers";"2001, 2004-2005, 2008, 2010-2021";"Cultural Studies (Q2); Anthropology (Q3); Law (Q3); Sociology and Political Science (Q3); Geography, Planning and Development (Q4)"
500;21100793925;"Nordic Journal of Human Rights";journal;"1891814X, 18918131";0,161;Q3;9;28;60;0;33;55;0,50;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2021";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
501;17700155419;"Sur";journal;"19833342, 18066445";0,161;Q3;7;0;61;0;17;61;0,10;0,00;Brazil;Latin America;"Sur - Rede Universitaria de Direitos Humanos";"2012-2020";"Law (Q3); Sociology and Political Science (Q3)"
502;21100842538;"Jusletter IT";journal;"1664848X";0,160;Q3;4;107;333;4007;23;328;0,08;37,45;Switzerland;Western Europe;"Weblaw AG";"2017-2021";"Law (Q3); Computer Science (miscellaneous) (Q4)"
503;21101045770;"Nordic Journal of Studies in Policing";journal;"27037045";0,160;Q3;1;7;22;451;4;17;0,18;64,43;Norway;Western Europe;"Universitetsforlaget AS";"2020-2021";"Law (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Education (Q4)"
504;21979;"Deutsche Lebensmittel-Rundschau";journal;"00120413";0,159;Q3;25;329;620;423;11;184;0,01;1,29;Germany;Western Europe;"Wissenschaftliche Verlagsgesellschaft Stuttgart";"1948-1949, 1961, 1973-1989, 1996-2021";"Law (Q3); Food Science (Q4); Industrial and Manufacturing Engineering (Q4)"
505;21100830426;"Journal of Criminological Research, Policy and Practice";journal;"2056385X, 20563841";0,159;Q3;10;19;80;723;44;75;0,31;38,05;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2015-2021";"Law (Q3); Sociology and Political Science (Q3); Health (social science) (Q4); Public Administration (Q4); Social Psychology (Q4)"
506;20546;"Ratio Juris";journal;"14679337, 09521917";0,159;Q3;11;23;76;993;23;67;0,23;43,17;United Kingdom;Western Europe;"Basil Blackwell";"1988-1995, 2004, 2011-2021";"Law (Q3)"
507;21100868098;"Rivista Italiana di Medicina Legale e del Diritto in Campo Sanitario";journal;"24992860, 24992852";0,159;Q3;5;0;121;0;16;117;0,20;0,00;Italy;Western Europe;"Giuffre Editore SpA";"2014-2020";"Law (Q3); Medicine (miscellaneous) (Q4); Pathology and Forensic Medicine (Q4)"
508;21100858711;"Brazilian Journal of International Law";journal;"2236997X, 22371036";0,158;Q3;3;58;202;2979;34;195;0,16;51,36;Brazil;Latin America;"Centro Universitario de Brasilia";"2016-2021";"Law (Q3); Political Science and International Relations (Q3)"
509;21101021459;"Canadian Journal of European and Russian Studies";journal;"25628429";0,158;Q3;1;0;12;0;3;11;0,25;0,00;Canada;Northern America;"Carleton University - Centre for European Studies";"2019-2020";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
510;5600156543;"Netherlands Quarterly of Human Rights";journal;"01693441";0,158;Q3;16;21;57;0;33;46;0,52;0,00;Netherlands;Western Europe;"Stichting Studie- en Informatiecentrum Mensenrechten";"2006-2021";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
511;21644;"University of Illinois Law Review";journal;"02769948";0,158;Q3;31;32;113;9505;40;113;0,33;297,03;United States;Northern America;"University of Illinois College of Law";"1990-1992, 1994-2021";"Law (Q3)"
512;21100927374;"Humanity";journal;"21514372, 21514364";0,156;Q3;3;22;40;1057;18;34;0,45;48,05;United States;Northern America;"University of Pennsylvania Press";"2019-2021";"Law (Q3); Sociology and Political Science (Q3)"
513;21100208071;"Teoria y Realidad Constitucional";journal;"11395583, 21748950";0,156;Q3;8;28;127;1635;23;127;0,13;58,39;Spain;Western Europe;"Universidad Nacional de Educacion a Distancia (UNED)";"2012-2021";"Law (Q3); Political Science and International Relations (Q3)"
514;21100797723;"World Competition";journal;"18758436, 10114548";0,156;Q3;5;24;72;60;10;61;0,11;2,50;Netherlands;Western Europe;"Kluwer Law International";"2016-2021";"Law (Q3); Economics and Econometrics (Q4)"
515;21100790520;"Canadian Journal of Law and Jurisprudence";journal;"20564260, 08418209";0,154;Q3;19;20;59;484;24;57;0,39;24,20;United Kingdom;Western Europe;"Cambridge University Press";"1996-2003, 2007, 2012-2021";"Law (Q3)"
516;21100924840;"European Data Protection Law Review";journal;"2364284X, 23642831";0,154;Q3;4;70;145;236;44;86;0,30;3,37;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2019-2021";"Law (Q3)"
517;17700155708;"Revue Internationale de Droit Penal";journal;"19516312, 02235404";0,154;Q3;7;13;77;589;5;74;0,08;45,31;Belgium;Western Europe;"Maklu Publishers";"2001-2020";"Law (Q3); Political Science and International Relations (Q3)"
